iShares Edge MSCI Min Vol USA ETF
Inception Date,"Oct 18, 2011"
Fund Holdings as of,"04-Jan-2017"
Total Net Assets,"$12,341,083,001"
Shares Outstanding,"271,000,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"TRV","TRAVELERS COMPANIES INC","Equity","0.5259","120.25","538,717","$64,780,719","64,780,719.25","Financials","2769503","US89417E1091","New York Stock Exchange Inc."
"BAX","BAXTER INTERNATIONAL INC","Equity","0.5234","44.75","1,440,661","$64,469,580","64,469,579.75","Health Care","2085102","US0718131099","New York Stock Exchange Inc."
"UDR","UDR INC.","Equity","0.5226","36.31","1,772,972","$64,376,613","64,376,613.32","Real Estate","2727910","US9026531049","New York Stock Exchange Inc."
"BR","BROADRIDGE FINANCIAL SOLUTIONS INC","Equity","0.5111","66.37","948,556","$62,955,662","62,955,661.72","Information Technology","B1VP7R6","US11133T1034","New York Stock Exchange Inc."
"ABT","ABBOTT LABORATORIES","Equity","0.5092","39.36","1,593,645","$62,725,867","62,725,867.20","Health Care","2002305","US0028241000","New York Stock Exchange Inc."
"TGT","TARGET CORP","Equity","0.5049","73.81","842,575","$62,190,461","62,190,460.75","Consumer Discretionary","2259101","US87612E1064","New York Stock Exchange Inc."
"ANSS","ANSYS INC","Equity","0.5034","94.44","656,631","$62,012,232","62,012,231.64","Information Technology","2045623","US03662Q1058","NASDAQ"
"WMT","WALMART STORES INC","Equity","0.4964","69.06","885,479","$61,151,180","61,151,179.74","Consumer Staples","2936921","US9311421039","New York Stock Exchange Inc."
"MSI","MOTOROLA SOLUTIONS INC","Equity","0.4933","83.49","727,789","$60,763,104","60,763,103.61","Information Technology","B5BKPQ4","US6200763075","New York Stock Exchange Inc."
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Equity","0.4764","53.15","1,104,137","$58,684,882","58,684,881.55","Industrials","2325507","US3021301094","NASDAQ"
"SBUX","STARBUCKS CORP","Equity","0.4741","55.99","1,042,960","$58,395,330","58,395,330.40","Consumer Discretionary","2842255","US8552441094","NASDAQ"
"GOOGL","ALPHABET INC CLASS A","Equity","0.4669","807.77","71,203","$57,515,647","57,515,647.31","Information Technology","BYVY8G0","US02079K3059","NASDAQ"
"ADBE","ADOBE SYSTEM INC","Equity","0.4665","104.14","551,798","$57,464,244","57,464,243.72","Information Technology","2008154","US00724F1012","NASDAQ"
"LH","LABORATORY CORPORATION OF AMERICA","Equity","0.4641","130.10","439,386","$57,164,119","57,164,118.60","Health Care","2586122","US50540R4092","New York Stock Exchange Inc."
"Y","ALLEGHANY CORP","Equity","0.4305","613.88","86,376","$53,024,499","53,024,498.88","Financials","2016801","US0171751003","New York Stock Exchange Inc."
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.4241","71.48","730,891","$52,244,089","52,244,088.68","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"WRB","WR BERKLEY CORP","Equity","0.4223","67.66","768,824","$52,018,632","52,018,631.84","Financials","2093644","US0844231029","New York Stock Exchange Inc."
"ORCL","ORACLE CORP","Equity","0.4173","38.74","1,327,021","$51,408,794","51,408,793.54","Information Technology","2661568","US68389X1054","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","0.4088","253.99","198,246","$50,352,502","50,352,501.54","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"CI","CIGNA CORP","Equity","0.3949","138.72","350,692","$48,647,994","48,647,994.24","Health Care","2196479","US1255091092","New York Stock Exchange Inc."
"INTC","INTEL CORPORATION CORP","Equity","0.3940","36.41","1,333,130","$48,539,263","48,539,263.30","Information Technology","2463247","US4581401001","NASDAQ"
"STZ","CONSTELLATION BRANDS INC CLASS A","Equity","0.3919","157.99","305,575","$48,277,794","48,277,794.25","Consumer Staples","2170473","US21036P1084","New York Stock Exchange Inc."
"CHRW","CH ROBINSON WORLDWIDE INC","Equity","0.3918","72.99","661,143","$48,256,828","48,256,827.57","Industrials","2116228","US12541W2098","NASDAQ"
"HCN","WELLTOWER INC","Equity","0.3881","66.68","717,045","$47,812,561","47,812,560.60","Real Estate","BYVYHH4","US95040Q1040","New York Stock Exchange Inc."
"HSIC","HENRY SCHEIN INC","Equity","0.3817","156.55","300,335","$47,017,444","47,017,444.25","Health Care","2416962","US8064071025","NASDAQ"
"PM","PHILIP MORRIS INTERNATIONAL INC","Equity","0.3747","90.42","510,416","$46,151,815","46,151,814.72","Consumer Staples","B2PKRQ3","US7181721090","New York Stock Exchange Inc."
"ESS","ESSEX PROPERTY TRUST REIT INC","Equity","0.3677","231.03","196,034","$45,289,735","45,289,735.02","Real Estate","2316619","US2971781057","New York Stock Exchange Inc."
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.3642","22.08","2,031,892","$44,864,175","44,864,175.36","Health Care","2113434","US1011371077","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","0.3572","235.25","187,034","$43,999,749","43,999,748.50","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"TMO","THERMO FISHER SCIENTIFIC INC","Equity","0.3539","145.16","300,301","$43,591,693","43,591,693.16","Health Care","2886907","US8835561023","New York Stock Exchange Inc."
"MAC","MACERICH REIT","Equity","0.3508","71.85","601,478","$43,216,194","43,216,194.30","Real Estate","2543967","US5543821012","New York Stock Exchange Inc."
"HUM","HUMANA INC","Equity","0.3368","197.78","209,751","$41,484,553","41,484,552.78","Health Care","2445063","US4448591028","New York Stock Exchange Inc."
"COST","COSTCO WHOLESALE CORP","Equity","0.3289","159.76","253,597","$40,514,657","40,514,656.72","Consumer Staples","2701271","US22160K1051","NASDAQ"
"GD","GENERAL DYNAMICS CORP","Equity","0.3246","175.54","227,770","$39,982,746","39,982,745.80","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"WR","WESTAR ENERGY INC.","Equity","0.3241","55.47","719,770","$39,925,642","39,925,641.90","Utilities","2484000","US95709T1007","New York Stock Exchange Inc."
"SYY","SYSCO CORP","Equity","0.3204","55.17","715,373","$39,467,128","39,467,128.41","Consumer Staples","2868165","US8718291078","New York Stock Exchange Inc."
"EBAY","EBAY INC","Equity","0.3199","29.76","1,324,097","$39,405,127","39,405,126.72","Information Technology","2293819","US2786421030","NASDAQ"
"ECL","ECOLAB INC","Equity","0.3174","118.79","329,160","$39,100,916","39,100,916.40","Materials","2304227","US2788651006","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.2999","115.52","319,784","$36,941,448","36,941,447.68","Financials","2965839","US12572Q1058","NASDAQ"
"PX","PRAXAIR INC","Equity","0.2952","116.85","311,201","$36,363,837","36,363,836.85","Materials","2699291","US74005P1049","New York Stock Exchange Inc."
"USB","US BANCORP","Equity","0.2711","51.84","644,271","$33,399,009","33,399,008.64","Financials","2736035","US9029733048","New York Stock Exchange Inc."
"LOW","LOWES COMPANIES INC","Equity","0.2688","71.81","461,023","$33,106,062","33,106,061.63","Consumer Discretionary","2536763","US5486611073","New York Stock Exchange Inc."
"VTR","VENTAS REIT INC","Equity","0.2612","62.61","513,929","$32,177,095","32,177,094.69","Real Estate","2927925","US92276F1003","New York Stock Exchange Inc."
"ANTM","ANTHEM INC","Equity","0.2607","143.05","224,457","$32,108,574","32,108,573.85","Health Care","BSPHGL4","US0367521038","New York Stock Exchange Inc."
"COO","COOPER COS.","Equity","0.2562","178.14","177,132","$31,554,294","31,554,294.48","Health Care","2222631","US2166484020","New York Stock Exchange Inc."
"DGX","QUEST DIAGNOSTICS INC","Equity","0.2514","93.07","332,675","$30,962,062","30,962,062.25","Health Care","2702791","US74834L1008","New York Stock Exchange Inc."
